Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1617900749.942206,1,1617900748,890296220,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.026,0.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900751.1501045,2,1617900750,972462892,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.024,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900751.3580391,3,1617900751,172686100,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.024,0.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900751.5570185,4,1617900751,372690916,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.026,0.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900751.754049,5,1617900751,572594404,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.025,0.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900751.9533637,6,1617900751,781235694,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025,-0.024,0.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900752.1660285,7,1617900751,973825693,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.025,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900752.3613057,8,1617900752,172630786,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,-0.025,0.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900752.564096,9,1617900752,380939722,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,-0.025,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900752.7640626,10,1617900752,579236745,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027,-0.025,0.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900752.967418,11,1617900752,782845020,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,-0.025,0.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900753.1683433,12,1617900752,989641189,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.025,0.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900753.366979,13,1617900753,182116746,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,-0.028,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900753.5670962,14,1617900753,379791021,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025,-0.024,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900753.7669537,15,1617900753,582591056,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,-0.026,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900753.966851,16,1617900753,786107063,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.025,0.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900754.1676412,17,1617900753,979957342,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,-0.022,0.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900754.3675473,18,1617900754,180223941,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.023,0.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900754.5698004,19,1617900754,383651256,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021,-0.026,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900754.773434,20,1617900754,582962274,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026,-0.024,0.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900754.9708562,21,1617900754,783699274,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023,-0.024,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900755.1795635,22,1617900754,984635114,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.023,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900755.3762014,23,1617900755,189192771,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,-0.025,0.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900755.573762,24,1617900755,389805793,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.025,0.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617900755.7706296,25,1617900755,593202352,odom,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022,-0.024,0.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
